(3227, 256, 5) (3227, 1)
Training Shape: (2879, 256, 5) (2879, 1)
Valid Shape: (348, 256, 5) (348, 1)
(2078, 256, 5) (2078, 1)
Training Shape: (1845, 256, 5) (1845, 1)
Valid Shape: (233, 256, 5) (233, 1)
E456: T:0.0005322330398485065 V:0.00241151824593544
E457: T:0.000510171230416745 V:0.00260133552365005
E458: T:0.0006364989676512778 V:0.003223567036911845
E459: T:0.000579166691750288 V:0.0033795787021517754
E460: T:0.0005296699819155037 V:0.0028875726275146008
E461: T:0.0006969028036110103 V:0.0021668984554708004
E462: T:0.0006573229329660535 V:0.00355139491148293
E463: T:0.000988567597232759 V:0.0029692347161471844
E464: T:0.0008709933026693761 V:0.0037874735426157713
E465: T:0.0006790592451579869 V:0.0023143819998949766
E466: T:0.0005871242028661072 V:0.0033289422281086445
E467: T:0.0006037534330971539 V:0.006522330455482006
E468: T:0.0009839828126132488 V:0.0024188142269849777
E469: T:0.0017090355977416039 V:0.010601851157844067
E470: T:0.001004865625873208 V:0.005067402962595224
E471: T:0.005414488725364208 V:0.0028452984988689423
E472: T:0.0010986707638949156 V:0.0031890510581433773
E473: T:0.0008316503372043371 V:0.0023319614119827747
E474: T:0.0006323525449261069 V:0.001947602373547852
E475: T:0.000584182096645236 V:0.0019223454874008894
E476: T:0.0005201952299103141 V:0.002365607302635908
E477: T:0.0004933691816404462 V:0.0020994555670768023
E478: T:0.0004969562287442386 V:0.0020790856797248125
E479: T:0.0004912408185191453 V:0.00205183494836092
E480: T:0.0005070532206445932 V:0.0022619017399847507
E481: T:0.00046791197382844985 V:0.0020054946653544903
E482: T:0.0005210567614994943 V:0.0020296915899962187
E483: T:0.000478717585792765 V:0.0021241249050945044
E484: T:0.0006988504901528358 V:0.00214405613951385
E485: T:0.0008456524810753763 V:0.0016462825005874038
E486: T:0.0007549126166850328 V:0.0016496905591338873
E487: T:0.000786385964602232 V:0.003501069499179721
E488: T:0.0007303671445697546 V:0.001846513245254755
E489: T:0.0006786451558582485 V:0.002238745801150799
E490: T:0.0006501267198473215 V:0.0024846531450748444
E491: T:0.0008430993766523898 V:0.0019588456489145756
E492: T:0.0007941271178424358 V:0.002077050507068634
E493: T:0.0007852790877223015 V:0.0020907949656248093
E494: T:0.0007865182124078274 V:0.003164102090522647
E495: T:0.0006727038999088109 V:0.00394393177703023
E496: T:0.0007046247483231127 V:0.008071335963904858
E497: T:0.0006598778418265283 V:0.0039945184253156185
E498: T:0.0006637374754063785 V:0.002309774048626423
E499: T:0.0005022099358029664 V:0.0032059953082352877
E500: T:0.0005271556437946856 V:0.0025439828168600798
