Training Shape: (1973, 256, 5) (1973, 1)
Valid Shape: (581, 256, 5) (581, 1)
Training Shape: (1238, 256, 5) (1238, 1)
Valid Shape: (305, 256, 5) (305, 1)
E407: T:0.00010260105045745149 V:0.10987992584705353
E408: T:9.090650564758107e-05 V:0.11843612790107727
E409: T:9.649264393374324e-05 V:0.0992988720536232
E410: T:8.202457684092224e-05 V:0.1247924417257309
E411: T:8.35683022160083e-05 V:0.1327376514673233
E412: T:8.678544691065326e-05 V:0.11243686825037003
E413: T:8.784491365076974e-05 V:0.13710461556911469
E414: T:9.039197902893648e-05 V:0.13683979213237762
E415: T:8.702853665454313e-05 V:0.13173383474349976
E416: T:9.953223343472928e-05 V:0.13388480246067047
E417: T:9.221587242791429e-05 V:0.13171355426311493
E418: T:8.58928106026724e-05 V:0.13590525090694427
E419: T:7.58644673624076e-05 V:0.10615407675504684
E420: T:9.654277528170496e-05 V:0.12645164132118225
E421: T:7.780738815199584e-05 V:0.1439937949180603
E422: T:7.945280231069773e-05 V:0.15281927585601807
E423: T:7.332085078814998e-05 V:0.1353653371334076
E424: T:8.466275903629139e-05 V:0.13153600692749023
E425: T:7.209417526610196e-05 V:0.12867261469364166
E426: T:8.195576083380729e-05 V:0.12307519465684891
E427: T:8.939064719015732e-05 V:0.11932743340730667
E428: T:0.00010747080523287877 V:0.09442316740751266
E429: T:8.787101978668943e-05 V:0.10867346823215485
E430: T:8.752964640734717e-05 V:0.10948815196752548
E431: T:0.00010345845657866448 V:0.13646811246871948
E432: T:9.142929047811776e-05 V:0.1235315278172493
E433: T:9.292189497500658e-05 V:0.09590490162372589
E434: T:7.049443229334429e-05 V:0.09059314429759979
E435: T:8.441770478384569e-05 V:0.14023911952972412
E436: T:7.693617226323113e-05 V:0.12661579251289368
E437: T:0.00010445514635648578 V:0.09510662406682968
E438: T:9.102078183786944e-05 V:0.12010914087295532
E439: T:8.064460416790098e-05 V:0.14429031312465668
E440: T:8.069015893852338e-05 V:0.11566940695047379
E441: T:6.51594455121085e-05 V:0.12043572217226028
E442: T:8.27175535960123e-05 V:0.12179702520370483
E443: T:7.563715917058289e-05 V:0.11498835682868958
E444: T:8.193262328859419e-05 V:0.11830316483974457
E445: T:7.526919216616079e-05 V:0.10420558601617813
E446: T:8.800361683825031e-05 V:0.13661274313926697
E447: T:7.736616680631414e-05 V:0.11200154572725296
E448: T:8.307373354909942e-05 V:0.1078970804810524
E449: T:8.014618651941419e-05 V:0.0968385562300682
E450: T:9.102025796892121e-05 V:0.11307109147310257
E451: T:8.339420310221612e-05 V:0.08633878082036972
E452: T:8.203503966797143e-05 V:0.08882257342338562
E453: T:8.231139509007335e-05 V:0.09138365834951401
E454: T:8.906897710403427e-05 V:0.11405886709690094
E455: T:8.108289330266416e-05 V:0.09583508223295212
E456: T:8.706529479240999e-05 V:0.07784704864025116
E457: T:7.70787664805539e-05 V:0.11936355382204056
E458: T:7.856686715967953e-05 V:0.10678940266370773
E459: T:7.094792817952111e-05 V:0.08759351819753647
E460: T:8.422744576819241e-05 V:0.15168648958206177
E461: T:7.820002065273002e-05 V:0.11590097099542618
E462: T:7.848250243114308e-05 V:0.0620812252163887
E463: T:8.118095138343051e-05 V:0.08684578537940979
E464: T:7.813065167283639e-05 V:0.11683674156665802
E465: T:7.620126416441053e-05 V:0.09874915331602097
E466: T:8.321016503032297e-05 V:0.10160069912672043
E467: T:8.861559035722166e-05 V:0.07563319802284241
E468: T:8.985804015537724e-05 V:0.09035206586122513
E469: T:7.358235598076135e-05 V:0.12486893683671951
E470: T:6.945109635125846e-05 V:0.11335471272468567
E471: T:8.132098446367308e-05 V:0.14613206684589386
E472: T:7.981755334185436e-05 V:0.1066378504037857
E473: T:7.753937097731978e-05 V:0.14621268212795258
E474: T:7.852711132727563e-05 V:0.11456666886806488
E475: T:8.036562940105796e-05 V:0.09015176445245743
E476: T:6.875471444800496e-05 V:0.11445973813533783
E477: T:8.254530257545412e-05 V:0.1392034888267517
E478: T:7.623097189934924e-05 V:0.09625975787639618
E479: T:6.843391747679561e-05 V:0.08834905177354813
E480: T:8.56763290357776e-05 V:0.12472067773342133
E481: T:7.910055137472227e-05 V:0.14457407593727112
E482: T:8.217503636842594e-05 V:0.09172242134809494
E483: T:7.420988549711183e-05 V:0.14545808732509613
E484: T:6.712351023452356e-05 V:0.15493309497833252
E485: T:8.395075565204024e-05 V:0.11618105322122574
E486: T:9.142344788415357e-05 V:0.11632215976715088
E487: T:7.058012852212414e-05 V:0.08610481768846512
E488: T:7.265026215463877e-05 V:0.07485725730657578
E489: T:7.907915278337896e-05 V:0.11555701494216919
E490: T:8.325443923240528e-05 V:0.09614075720310211
E491: T:7.31129985069856e-05 V:0.0932735949754715
E492: T:7.452599675161764e-05 V:0.1161235049366951
E493: T:6.990593101363629e-05 V:0.05620565265417099
E494: T:6.70365770929493e-05 V:0.10105515271425247
E495: T:8.049708412727341e-05 V:0.133283793926239
E496: T:6.678217323496938e-05 V:0.12720763683319092
E497: T:6.662568921456113e-05 V:0.13660185039043427
E498: T:7.907062536105514e-05 V:0.07566536962985992
E499: T:6.964162457734346e-05 V:0.10930660367012024
E500: T:8.610633813077584e-05 V:0.13318796455860138
Best model on epoch 134 L: tensor(0.0512, device='cuda:0')
Training Shape: (1973, 256, 5) (1973, 1)
Valid Shape: (581, 256, 5) (581, 1)
Training Shape: (1238, 256, 5) (1238, 1)
Valid Shape: (305, 256, 5) (305, 1)
Training Shape: (1973, 256, 5) (1973, 1)
Valid Shape: (581, 256, 5) (581, 1)
Training Shape: (1238, 256, 5) (1238, 1)
Valid Shape: (305, 256, 5) (305, 1)
Training Shape: (1973, 256, 5) (1973, 1)
Valid Shape: (581, 256, 5) (581, 1)
Training Shape: (1238, 256, 5) (1238, 1)
Valid Shape: (305, 256, 5) (305, 1)
Training Shape: (1973, 256, 5) (1973, 1)
